AGT_CHANNEL,AGT_STATUS,AGT_CD
BANCA,INFORCE,653
AGENCY,INFORCE,654
AGENCY,INFORCE,655
AGENCY,INFORCE,656
AGENCY,INFORCE,657
BANCA,INFORCE,658
IFA,INFORCE,659
AGENCY,INFORCE,660
AGENCY,INFORCE,661
AGENCY,INFORCE,662
AGENCY,INFORCE,663
AGENCY,INFORCE,664
AGENCY,INFORCE,665
AGENCY,INFORCE,666
AGENCY,TERMINATED,667
AGENCY,TERMINATED,668
BANCA,INFORCE,669
AGENCY,INFORCE,670
AGENCY,INFORCE,671
AGENCY,INFORCE,672
AGENCY,INFORCE,673
AGENCY,INFORCE,674
AGENCY,INFORCE,675
AGENCY,INFORCE,676
AGENCY,INFORCE,677
AGENCY,INFORCE,678
AGENCY,INFORCE,679
AGENCY,INFORCE,680
AGENCY,INFORCE,681
AGENCY,INFORCE,682
AGENCY,INFORCE,683
AGENCY,INFORCE,684
AGENCY,INFORCE,685
AGENCY,INFORCE,686
AGENCY,INFORCE,687
AGENCY,INFORCE,688
AGENCY,TERMINATED,689
BANCA,INFORCE,690
AGENCY,TERMINATED,691
AGENCY,INFORCE,692
BANCA,INFORCE,693
AGENCY,INFORCE,694
AGENCY,INFORCE,695
AGENCY,INFORCE,696
AGENCY,INFORCE,697
AGENCY,INFORCE,698
AGENCY,INFORCE,699
AGENCY,INFORCE,700
AGENCY,INFORCE,701
AGENCY,INFORCE,702
AGENCY,INFORCE,703
AGENCY,INFORCE,704
AGENCY,TERMINATED,705
AGENCY,SUSPENDED,706
AGENCY,INFORCE,707
AGENCY,INFORCE,708
AGENCY,INFORCE,709
AGENCY,INFORCE,710
AGENCY,INFORCE,711
AGENCY,INFORCE,712
AGENCY,INFORCE,713
AGENCY,INFORCE,714
AGENCY,INFORCE,715
AGENCY,TERMINATED,716
IFA,INFORCE,717
AGENCY,INFORCE,718
AGENCY,INFORCE,719
BANCA,INFORCE,720
AGENCY,INFORCE,721
AGENCY,TERMINATED,722
AGENCY,INFORCE,723
BANCA,INFORCE,724
AGENCY,TERMINATED,725
AGENCY,INFORCE,726
AGENCY,INFORCE,727
AGENCY,INFORCE,728
BANCA,INFORCE,729
AGENCY,INFORCE,730
AGENCY,INFORCE,731
AGENCY,TERMINATED,732
AGENCY,INFORCE,733
IFA,INFORCE,734
BANCA,INFORCE,735
AGENCY,INFORCE,736
BANCA,INFORCE,737
AGENCY,INFORCE,738
AGENCY,INFORCE,739
AGENCY,INFORCE,740
AGENCY,INFORCE,741
AGENCY,INFORCE,742
AGENCY,INFORCE,743
AGENCY,INFORCE,744
AGENCY,INFORCE,745
AGENCY,INFORCE,746
AGENCY,INFORCE,747
AGENCY,INFORCE,748
AGENCY,TERMINATED,749
AGENCY,INFORCE,750
AGENCY,INFORCE,751
AGENCY,INFORCE,752
BANCA,INFORCE,753
AGENCY,INFORCE,754
AGENCY,INFORCE,755
AGENCY,INFORCE,756
AGENCY,INFORCE,757
AGENCY,INFORCE,758
AGENCY,INFORCE,759
AGENCY,INFORCE,760
AGENCY,INFORCE,761
AGENCY,INFORCE,762
AGENCY,INFORCE,763
AGENCY,INFORCE,764
AGENCY,TERMINATED,765
AGENCY,INFORCE,766
AGENCY,TERMINATED,767
AGENCY,INFORCE,768
AGENCY,INFORCE,769
AGENCY,INFORCE,770
AGENCY,INFORCE,771
AGENCY,INFORCE,772
AGENCY,INFORCE,773
AGENCY,INFORCE,774
AGENCY,INFORCE,775
AGENCY,INFORCE,776
AGENCY,INFORCE,777
AGENCY,INFORCE,778
AGENCY,TERMINATED,779
AGENCY,INFORCE,780
AGENCY,INFORCE,781
BANCA,INFORCE,782
AGENCY,INFORCE,783
AGENCY,TERMINATED,784
AGENCY,INFORCE,785
AGENCY,INFORCE,786
AGENCY,INFORCE,787
AGENCY,INFORCE,788
AGENCY,INFORCE,789
AGENCY,INFORCE,790
AGENCY,TERMINATED,791
AGENCY,TERMINATED,792
AGENCY,INFORCE,793
AGENCY,INFORCE,794
AGENCY,INFORCE,795
AGENCY,INFORCE,796
AGENCY,INFORCE,797
AGENCY,INFORCE,798
AGENCY,INFORCE,799
AGENCY,INFORCE,800
AGENCY,INFORCE,801
AGENCY,TERMINATED,802
AGENCY,INFORCE,803
IFA,INFORCE,804
AGENCY,INFORCE,805
AGENCY,INFORCE,806
AGENCY,INFORCE,807
AGENCY,TERMINATED,808
AGENCY,INFORCE,809
BANCA,TERMINATED,810
AGENCY,INFORCE,811
AGENCY,INFORCE,812
AGENCY,INFORCE,813
AGENCY,INFORCE,814
